業種,企業コード,市場,企業名,URL,概要
水産・農林業,1301,東証1部,(株)極洋,http://www.kyokuyo.co.jp/,水産品の貿易、加工、買い付け主力。すしネタに強み。加工食品は業務用が軸。海外加工比率高い
水産・農林業,1332,東証1部,日本水産(株),http://www.nissui.co.jp/,水産品に特化した食品会社を志向。家庭用冷食で成功。Ｍ＆Ａ駆使し世界的ＳＣＭ構築目指す
水産・農林業,1334,東証1部,(株)マルハニチロホールディングス,http://www.maruha-nichiro.co.jp/,水産最大手、国内に強固な流通網。三国間取引推進。国内外でのマグロ、エビ養殖が新機軸
卸売業,1352,東証1部,(株)ホウスイ,http://www.hohsui.co.jp/,中央魚類の子会社。鮮魚、冷凍魚などの卸売り、冷蔵倉庫を主体とする水産物の総合流通企業
水産・農林業,1376,JQS,カネコ種苗(株),http://www.kanekoseeds.jp/,野菜・牧草種子など種苗事業や農薬が収益柱。農業資材や花きも販売。利益は下期の比重高い
水産・農林業,1377,東証1部,(株)サカタのタネ,http://www.sakataseed.co.jp/,種苗首位級。アンデスメロン等の自社開発品多彩。ブロッコリー世界シェア６割と海外展開先行
水産・農林業,1378,東証2部,(株)雪国まいたけ,http://www.maitake.co.jp/,マイタケでシェア過半、ブナシメジ、カット野菜も。大平一族色。国内は新潟集中。中国で合弁
水産・農林業,1379,東証1部,ホクト(株),http://www.hokto-kinoko.co.jp/,ブナシメジ、エリンギで首位。地盤の長野中心に全国で生産拠点展開。米国、台湾でも生産
水産・農林業,1380,JQS,(株)秋川牧園,https://www.akikawabokuen.co.jp/,無農薬無投薬の食肉、鶏卵、牛乳等を製造販売。生協向けが主。直販宅配「スマイル生活」を強化
水産・農林業,1381,JQS,(株)アクシーズ,http://www.axyz-grp.co.jp/,鶏肉国内大手。ケンタッキー（ＫＦＣ）と食肉卸向け柱。飼料製造から加工まで一貫。外食ＦＣも
水産・農林業,1382,JQS,(株)ホーブ,http://www.hob.co.jp/,イチゴ果実を大手洋菓子メーカーや菓子・パン業者に販売、夏秋は自社品中心、冬は仕入れ品
水産・農林業,1383,JQS,ベルグアース(株),http://www.bergearth.co.jp/,接ぎ木したトマト、キュウリなど野菜苗を生産販売。病害虫、連作障害に強い苗開発が強み
建設業,1400,JQG,ルーデン・ホールディングス(株),http://www.ruden.jp/,マンション室内コーティング主力。旧アライヴコミュニティが０８年経営混乱後、現経営陣が掌握
建設業,1401,福岡Q,(株)エムビーエス,http://www.homemakeup.co.jp/,独自研磨法と特殊コーティング剤での外装リフォーム会社。直接施工と並行し契約工務店拡大
建設業,1405,東証2部,サーラ住宅(株),http://www.sala-house.co.jp/,愛知、静岡地盤のサーラグループ中核。高気密高断熱住宅に特徴。宅地開発、マンション分譲も
建設業,1407,JQS,(株)ウエストホールディングス,http://www.west-gr.co.jp/,住宅リフォームから出発し太陽光に重点移行、全国展開。提携に積極的。戸建て、開発事業撤退
建設業,1408,JQG,サムシングホールディングス(株),http://www.sthd.co.jp/,戸建てや商業用地を対象にした地盤改良工事および地盤保証事業展開。不動産事業からは撤退
建設業,1413,名証2部,(株)桧家ホールディングス,http://www.hinokiya-holdings.jp/,エコハウス中心に規格型注文住宅の請負・施工。東京周辺で分譲住宅。断熱材生産でも急成長中
建設業,1414,東証1部,ショーボンドホールディングス(株),http://www.sho-bondhd.jp/,橋梁、ビルなどコンクリート構造物補修工事のパイオニアで最大手。自前の研究所持ち技術強い
建設業,1417,東証1部,(株)ミライト・ホールディングス,http://www.mirait.co.jp/,通信工事で３位。業界中堅の大明、コミューチュア、東電通が１０年に経営統合。ＮＴＴ向け主体
建設業,1418,JQS,インターライフホールディングス(株),http://www.n-interlife.co.jp/,内装工事の日商インター等を傘下に持つ持株会社。携帯販売、人材派遣も。広告代理業に進出
建設業,1419,東証1部,タマホーム(株),http://www.tamahome.jp/,注文住宅会社。ロードサイド型独立店を積極展開し大々的な広告で集客。分譲など周辺にも展開
建設業,1420,東証2部,サンヨーホームズ(株),http://www.sanyohomes.co.jp/,戸建住宅、マンション、賃貸福祉住宅の設計・販売が主。近畿圏中心に首都圏、中部圏等で展開
非鉄金属,1491,東証2部,中外鉱業(株),http://www.chugaikogyo.co.jp/,金中心に貴金属をリサイクル販売。不動産、中古機械販売も。先物投資運用事業が収益を左右
鉱業,1514,東証1部,住石ホールディングス(株),http://www.sumiseki.co.jp/,住友石炭鉱業が母体。国内炭撤退、豪州等からの輸入炭にシフト。人工ダイヤ、採石等にも展開
鉱業,1515,東証1部,日鉄鉱業(株),http://www.nittetsukou.co.jp/,新日鉄住金系。石灰石、銅精鉱、電気銅主力。機械、環境、不動産も。チリ銅鉱山など海外採鉱拡大
鉱業,1518,東証1部,三井松島産業(株),http://www.mitsui-matsushima.co.jp/,豪州で石炭開発し輸入販売。豪以外でも権益拡大。建機材、施設運営、金属再生、太陽光発電も
鉱業,1605,東証1部,国際石油開発帝石(株),http://www.inpex.co.jp/,原油・ガス開発生産の国内最大手。政府が黄金株保有。豪ＬＮＧ開発案件イクシスに２兆円投資
鉱業,1606,東証1部,日本海洋掘削(株),http://www.jdc.co.jp/,海洋掘削専業、原油・天然ガス田の試掘や生産井掘削を受託。東南ア、中東等で掘削リグ操業
鉱業,1661,東証1部,関東天然瓦斯開発(株),http://www.gasukai.co.jp/,千葉県で天然ガスやヨードを生産。子会社に大多喜ガス。全販売量に占める自社生産ガス２割弱
鉱業,1662,東証1部,石油資源開発(株),http://www.japex.co.jp/,原油・ガス開発専業。新潟、秋田等での天然ガス田操業が大黒柱。カナダで超重質油の生産も
建設業,1711,マザーズ,(株)省電舎,http://www.shodensya.com/,日本でのエスコ事業（エネルギー削減保証ビジネス）の草分け。業績は工事集中の下期偏重
建設業,1712,東証1部,(株)ダイセキ環境ソリューション,http://www.daiseki-eco.co.jp/,汚染土壌の調査から浄化処理までの一貫体制に特徴。名古屋地盤だが、関東、関西でも展開拡大
建設業,1716,JQS,第一カッター興業(株),http://www.daiichi-cutter.co.jp/,ダイヤモンド使用のコンクリート構造物切断、穿孔工事が主力。水圧のウォータージェットも
建設業,1717,JQS,明豊ファシリティワークス(株),http://www.meiho.co.jp/,発注者に代わり建築工事の監理や入札を行うＣＭ（コンストラクションマネジメント）が主力
建設業,1718,JQS,美樹工業(株),http://www.mikikogyo.co.jp/,大阪ガス軸のガス工事会社。子会社のセキスイハイム販売など住宅も主柱。建設・不動産賃貸も
建設業,1719,東証1部,安藤ハザマ,http://www.ad-hzm.co.jp/,ダム、トンネル等大型土木に定評ある名門。１３年４月、民間建築が主力の安藤建設を吸収合併
建設業,1720,東証1部,東急建設(株),http://const.tokyu.com/,東急グループ関連からの受注約２割。渋谷駅前開発案件を継続的に受注。単独配当性向３割メド
建設業,1721,東証1部,コムシスホールディングス(株),http://www.comsys-hd.co.jp/,電気通信工事で最大手。ネットワーク構築に強み。日本コムシスが三和エレック等を統合
建設業,1722,東証1部,ミサワホーム(株),http://www.misawa.co.jp/,住宅大手。住宅、リフォームに特化し再建軌道化。トヨタ自動車が資本参加、住宅事業で提携
建設業,1723,JQS,日本電技(株),http://www.nihondengi.co.jp/,計装エンジニアリング大手。空調設備の自動制御や工場自動化システムを展開。アズビルと提携
建設業,1724,JQS,シンクレイヤ(株),http://www.synclayer.com/,ケーブルテレビ事業者向けにシステム構築。運用、保守を行う。光関連など機器販売も拡充
建設業,1726,東証2部,(株)ビーアールホールディングス,http://www.brhd.co.jp/,極東興和が中核。中国、関西地盤のＰＣ橋梁工事中堅。関東、東北へのエリア拡大にＭ＆Ａ駆使
建設業,1728,JQS,ミサワホーム中国(株),http://www.misawa-c.co.jp/,０７年１０月サンインと合併しミサワホームの中国地方全域を担当。店舗など非住宅分野へも展開
建設業,1730,JQS,麻生フオームクリート(株),http://www.asofoam.co.jp/,麻生グループ。軽量盛土など気泡コンクリート工事の最大手。地盤改良の新工法開発に強み
建設業,1734,札証,(株)北弘電社,http://www.kitakoudensha.co.jp/,屋内配線工事では道内トップ。ＦＡ機器など商品販売を併営。風力発電など新事業を模索
建設業,1736,JQS,(株)オーテック,http://www.o-tec.co.jp/,工場・ビル空調自動制御設備の建設、施工、メンテなどが柱。建築設備資材や機器販売も展開
建設業,1737,東証2部,三井金属エンジニアリング(株),http://www.mesco.co.jp/,プラント中堅。非鉄製錬に特化し特に銅製錬に強み。複合ポリエチレンパイプ製販事業を併営
建設業,1738,名証2部,(株)ＮＩＴＴＯＨ,http://www.nittoh-info.co.jp/,白アリ等の防虫駆除と住宅請負工事が柱。ビルメンテも推進。愛知地盤だが関東、関西にも進出
建設業,1739,JQG,(株)ＳＥＥＤ,http://www.seed-kyoto.co.jp/,京都、滋賀地盤の建設会社。賃貸マンション建築が収益柱。三栄建築設計傘下で経営再建中
建設業,1743,大証2部,コーアツ工業(株),http://www.koatsuind.co.jp/,橋梁工事中心の中堅。官公需８割。九州地盤。プレストレストコンクリ技術に定評。健食通販も
建設業,1757,大証2部,クレアホールディングス(株),http://crea-hd.co.jp/,旧キーイングホーム、社名変更頻繁。住宅リフォーム、給排水管が基盤。太陽光事業参入。再建中
建設業,1758,JQS,太洋基礎工業(株),http://www.taiyoukiso.co.jp/,下水道など特殊土木工事（官公需）と積水ハウスの住宅地盤改良工事が２本柱。東海３県に強み
建設業,1762,東証1部,(株)高松コンストラクショングループ,http://www.takamatsu-cg.co.jp/,関西地盤に全国展開する中堅ゼネコン。傘下に青木あすなろ建設とみらい建設。利益率重視
建設業,1764,東証2部,工藤建設(株),http://www.kudo.co.jp/,神奈川地盤の中堅建設。東京・練馬に拠点。不動産に続き介護（老人ホーム）を第３の柱に育成中
建設業,1766,東証1部,東建コーポレーション(株),http://www.token.co.jp/,地主に賃貸住宅経営提案し施工から管理、仲介まで一貫化。住宅設備子会社を傘下に持つ
建設業,1768,大証2部,(株)ソネック,http://www.sonec-const.co.jp/,兵庫県（東播磨）を地盤とする民間建築中心の中堅ゼネコン。子会社で化学運輸事業。無借金
建設業,1770,JQS,藤田エンジニアリング(株),http://www.fujita-eng.co.jp/,群馬県が地盤の設備工事中堅。空調・産業設備の保守に強み。情報システムや電子部品製造も
建設業,1771,福証,日本乾溜工業(株),http://www.kanryu.co.jp/,交通安全施設工事が主軸。福岡に重点。防災安全用品や竹繊維入り自然土固化舗装材にも注力
建設業,1773,東証外国,ＹＴＬ,http://www.ytl.com.my/,
建設業,1775,東証2部,富士古河Ｅ＆Ｃ(株),http://www.ffec.co.jp/,富士電機グループの設備工事会社。水処理、産機主力、古河グループの古河総合設備等を吸収
建設業,1776,東証2部,三井住建道路(株),http://www.smrc.co.jp/,道路中堅。三井住友Ｇ関連工事が強み。完工高に占める官庁比率５割以下メド。有利子負債ゼロ
建設業,1777,名証2部,川崎設備工業(株),http://www.kawasaki-sk.co.jp/,０８年４月から電気設備の関電工傘下。空調・水道衛生等の設備工事中堅。リニューアル部門育成
建設業,1780,東証1部,(株)ヤマウラ,http://www.yamaura.co.jp/,長野県内の建築、土木中心。民間の比率高い。圧力容器や環境保全機器の製作も。多角化転換
建設業,1782,JQS,常磐開発(株),http://www.jobankaihatsu.co.jp/,常磐興産グループの総合建設。地元自治体とグループ依存から民間建築主力に。環境事業を育成
建設業,1783,JQS,(株)Ａ．Ｃホールディングス,http://www.ac-holdings.jp/,土木会社からスタートし業態転換。北海道、広島県等でのゴルフ場運営、建設関連軸に再建中
建設業,1787,JQS,(株)ナカボーテック,http://www.nakabohtec.co.jp/,鉄鋼構造物などの腐食を抑える防食専業のエンジニアリング。業界首位。ＲＣ等新規事業育成
建設業,1788,JQS,(株)三東工業社,http://www.santo.co.jp/,売上高の８割強が滋賀県内。官公需中心の土木から民間建築に重点を移す。不動産に進出
建設業,1789,JQS,山加電業(株),http://www.yamaka.co.jp/,送電線、内線工事が主体だが一般電気設備も。電力関連に加え、民間も開拓。通信向けが拡大
建設業,1793,JQS,(株)大本組,http://www.ohmoto.co.jp/,土木主体中堅から建築主体にシフト。岡山を地盤に全国展開。無人化施工技術など独自技術強み
建設業,1795,JQS,(株)マサル,http://www.masaru-co.jp/,ビル、マンション等のシーリング（外壁防水）工事でトップ。リニューアル（補修・改修）を強化
建設業,1798,JQS,(株)守谷商会,http://sales.moritani.co.jp/,長野地盤の中堅建設。首都圏、中部圏でも営業。トヨタホームと提携してプレハブ住宅を販売
建設業,1799,JQS,第一建設工業(株),http://www.daiichi-kensetsu.co.jp/,ＪＲ東日本系。線路工事など同社依存度約６割。非鉄道も強化。関東、信越、東北地盤。好財務
建設業,1801,東証1部,大成建設(株),http://www.taisei.co.jp/,業界大手の一角。非同族。道路事業を完全子会社化。不動産縮小。海外受注は建築軸に立て直し
建設業,1802,東証1部,(株)大林組,http://www.obayashi.co.jp/,業界大手の一角。関西、首都圏で都市開発に積極的。海外は北米、アジア進出。不動産開発を強化
建設業,1803,東証1部,清水建設(株),http://www.shimz.co.jp/,業界大手の一角。首都圏、民間建築が主力。環境エネルギーにも注力。海外受注比率は１割未満
建設業,1805,東証1部,飛島建設(株),http://www.tobishima.co.jp/,土木主体の老舗。防災関連に強み、「トグル制震構法」で耐震補強に定評。財務体質改善が課題
建設業,1807,JQS,(株)佐藤渡辺,http://www.watanabesato.co.jp/,旧渡辺組と旧佐藤道路が合併、道路舗装工事の中堅。東亜道路工業と技術情報の交換など実施
建設業,1808,東証1部,(株)長谷工コーポレーション,http://www.haseko.co.jp/,マンション建築トップ。事業計画立案から施工まで一貫受注モデル構築。サービス事業を育成
建設業,1810,東証1部,松井建設(株),http://www.matsui-ken.co.jp/,１５８６年創業、社寺建築で優れた技術持つ。マンション等民間建築中心。受注計画は非公表
建設業,1811,大証1部,(株)錢高組,http://www.zenitaka.co.jp/,関西本拠の老舗中堅ゼネコン。官民比率は４対６、マンション比率約２割。シールド工法に強み
建設業,1812,東証1部,鹿島,http://www.kajima.co.jp/,業界大手の一角。同族色残る。超高層、耐震、原発技術に強み。内外の不動産開発が収益下支え
建設業,1813,東証1部,(株)不動テトラ,http://www.fudotetra.co.jp/,不動建設の土木部門とテトラが合併。強みの地盤改良に経営資源シフト。日特建設に２割強出資
建設業,1814,東証1部,大末建設(株),http://www.daisue.co.jp/,マンションなど民間建築が主体。関西主力だが首都圏のウエート高まる。大東建託と業務提携
建設業,1815,東証1部,鉄建,http://www.tekken.co.jp/,鉄道、道路、マンション建設に強い。受注はＪＲ、官公庁、民間がバランス。鹿島と株持ち合い
建設業,1819,東証1部,太平工業(株),http://www.taiheikogyo.co.jp/,新日鉄住金系の総合エンジニアリング。グループ作業請負と製造設備の開発設計・施工等が柱
建設業,1820,東証1部,西松建設(株),http://www.nishimatsu.co.jp/,ダム、トンネル等土木得意。戸田建設と技術提携。東南アジア深耕で海外売上比率２０％を目指す
建設業,1821,東証1部,三井住友建設(株),http://www.smcon.co.jp/,大和証券Ｇ系ファンド出資。ＰＣ橋と超高層マンション施工が強み。インドで日系工場実績豊富
建設業,1822,東証1部,大豊建設(株),http://www.daiho.co.jp/,泥土加圧シールド、無人ケーソンの両工法で大型土木プロジェクトに参画。建築強化。堅実経営
建設業,1824,東証1部,前田建設工業(株),http://www.maeda.co.jp/,土木主体から民間大型建築に積極展開。香港に地盤。本社再開発に着手。東洋建設と連携強化
建設業,1826,東証1部,佐田建設(株),http://www.satakensetsu.co.jp/,群馬・埼玉県が地盤の中堅建設会社。０４年から不動産分離、建設再構築、地域密着営業重点
建設業,1827,東証1部,(株)ナカノフドー建設,http://www.wave-nakano.co.jp/,医療、物流など多彩な民間建築が主体の中堅ゼネコン。東南アジアでの高層住宅、工場等に実績
建設業,1828,東証2部,田辺工業(株),http://www.tanabe-ind.co.jp/,関東、中部が地盤。化学プラントを主体とする中堅総合プラント工事会社。タイで表面処理事業
建設業,1832,札証,北海電気工事(株),http://www.hokkaidenki.co.jp/,北海道電力傘下の電気工事会社。売り上げの約８割は北電向け。配電線中心に屋内配線や通信も
建設業,1833,東証1部,(株)奥村組,http://www.okumuragumi.co.jp/,関西系中堅ゼネコン。免震技術やトンネル施工技術に定評。堅実経営を標榜。ドーケンと提携
建設業,1834,東証1部,大和小田急建設(株),http://www.daiwaodakyu.co.jp/,大株主の大和ハウス工業と小田急グループが関連する好物件受注が主柱。受注計画は非公表
建設業,1835,東証1部,東鉄工業(株),http://www.totetsu.co.jp/,軌道や駅舎等ＪＲ東日本関連が大半。屋上緑化用の苔栽培等環境事業に注力。個人向けＩＲ重視
建設業,1840,東証2部,(株)土屋ホールディングス,http://www.tsuchiya.co.jp/,北海道地盤の住宅会社。在来工法首位。道内売り上げ７割。気密、断熱に優れた住宅を開発
建設業,1841,JQS,サンユー建設(株),http://www.sanyu-co.co.jp/,建築で創業し現在は不動産（分譲マンション、宅地販売）と２本柱。住宅用エレベーターに進出
建設業,1844,東証2部,(株)大盛工業,http://www.ohmori.co.jp/,上下水道・地中工事に特化した土木会社。葛飾、足立など都の関連が９割。再建中。大株主不安定
建設業,1846,東証2部,鈴縫工業(株),http://www.suzunui.co.jp/,日立、水戸など茨城県下を主力地盤に、建築・土木工事施工の総合建設。子会社で居宅介護展開
建設業,1847,東証1部,(株)イチケン,http://www.ichiken.co.jp/,ダイエー系からマルハン（パチンコホール、年商２兆円超）系へ。商業施設の建設・内改装が主力
建設業,1848,大証2部,(株)富士ピー・エス,http://www.fujips.co.jp/,ＰＣ工法大手で橋梁など土木工事が主力。官公庁向けが大半。九州から近畿、中部、関東に進出
建設業,1850,大証2部,南海辰村建設(株),http://www.nantatsu.co.jp/,近畿地盤の南海建設と、首都圏地盤の辰村組が統合して誕生した南海電鉄グループの中堅建設
建設業,1852,東証1部,(株)淺沼組,http://www.asanuma.co.jp/,１８９２年創業の関西系中堅ゼネコン。学校や官公庁建築に実績を持つ。関西を地盤に全国展開
建設業,1853,大証2部,(株)森組,http://www.morigumi.co.jp/,土木から建築主体に。筆頭株主が阪急電鉄から業務提携の長谷工コーポへ。阪急と協力関係続く
建設業,1860,東証1部,戸田建設(株),http://www.toda.co.jp/,病院、学校に強い建築の名門。準大手。三菱系顧客多い。堅実経営。不動産事業の拡大を志向
建設業,1861,東証1部,(株)熊谷組,http://www.kumagaigumi.co.jp/,総合建設準大手。歴史的にトンネル等大型土木に強み、大型マンション建築、耐震工事に傾斜
建設業,1865,東証1部,青木あすなろ建設(株),http://www.aaconst.co.jp/,高松コンストラクＧ傘下。みらい建設等海上土木に強み。不動産事業に進出。受注計画非公表
建設業,1866,東証1部,北野建設(株),http://www.kitano.co.jp/,長野地盤、民間建築主力。首都圏の比重は約５割。子会社通じホテル、ゴルフ場などに多角化
建設業,1867,東証1部,(株)植木組,http://www.uekigumi.co.jp/,新潟県地盤の中堅建設。東京、中部、北陸など県外拡大に意欲。子会社で有料老人ホーム等進出
建設業,1868,東証1部,三井ホーム(株),http://www.mitsuihome.co.jp/,三井不動産系住宅メーカーで２×４住宅首位。設計、デザインに強み。構造材はカナダから輸入
建設業,1869,名証2部,名工建設(株),http://www.meikokensetsu.co.jp/,発祥は保線工事の中堅ゼネコンでＪＲ東海と密接。ＪＲ向けのほか官公庁、民間でも実績積む
建設業,1870,東証1部,矢作建設工業(株),http://www.yahagi.co.jp/,名古屋地区の大手、名鉄と密接。民間建築中心に展開。独自の耐震補強工事でも事業拡大
