market,Corp Code,Category,Corp Name,URL,,
 東証一部 ,1301,水産・農林 ,極洋,http://www.kyokuyo.co.jp/,,
 東証一部 ,1332,水産・農林 ,日本水産,http://www.nissui.co.jp/,,
 東証一部 ,1333,水産・農林 ,マルハニチロ,http://www.maruha-nichiro.co.jp/,,
 東証一部 ,1352,卸売 ,ホウスイ,http://www.hohsui.co.jp/,,
 東証二部 ,1376,水産・農林 ,カネコ種苗,http://www.kanekoseeds.jp/,,
 東証一部 ,1377,水産・農林 ,サカタのタネ,http://www.sakataseed.co.jp/,,
 東証一部 ,1379,水産・農林 ,ホクト,http://www.hokto-kinoko.co.jp/,,
 JASDAQスタンダード ,1380,水産・農林 ,秋川牧園,https://www.akikawabokuen.com/,,
 JASDAQスタンダード ,1381,水産・農林 ,アクシーズ,http://www.axyz-grp.co.jp/,,
 JASDAQスタンダード ,1382,水産・農林 ,ホーブ,http://www.hob.co.jp/,,
 JASDAQスタンダード ,1383,サービス ,ベルグアース,http://www.bergearth.co.jp/,,
 東証二部 ,1384,水産・農林 ,ホクリヨウ,http://www.hokuryo.co.jp/,,
 JASDAQグロース ,1400,建設 ,ルーデン・ホールディングス,http://www.ruden.jp/,,
" 東証マザーズ,Q-Board ",1401,建設 ,エムビーエス,http://www.homemakeup.co.jp/,,
" 東証二部,名証二部 ",1405,建設 ,サーラ住宅,http://www.sala-house.co.jp/,,
 JASDAQスタンダード ,1407,建設 ,ウエストホールディングス,http://www.west-gr.co.jp/,,
 JASDAQグロース ,1408,建設 ,サムシングホールディングス,http://www.sthd.co.jp/,,
 名証二部 ,1413,建設 ,桧家ホールディングス,http://www.hinokiya-holdings.jp/,,
 東証一部 ,1414,建設 ,ショーボンドホールディングス,http://www.sho-bondhd.jp/,,
 東証一部 ,1417,建設 ,ミライト・ホールディングス,http://www.mirait.co.jp/,,
 JASDAQスタンダード ,1418,建設 ,インターライフホールディングス,http://www.n-interlife.co.jp/,,
