No,大項目,中項目,小項目
1,営業,IT営業,IT法人営業（直販）
2,営業,IT営業,IT法人営業（代理店）
3,営業,IT営業,Web系ソリューション営業
4,営業,IT営業,IT個人営業
5,営業,半導体・電子部品・エレクトロニクス製品営業,半導体・電子部品・エレクトロニクス製品営業（国内）
6,営業,半導体・電子部品・エレクトロニクス製品営業,半導体・電子部品・エレクトロニクス製品営業（海外）
7,営業,自動車・装置・機械製品営業,装置・工作機械・産業機械営業（国内）
8,営業,自動車・装置・機械製品営業,装置・工作機械・産業機械営業（海外）
9,営業,自動車・装置・機械製品営業,精密機械・計測機器・分析機器・光学製品営業（国内）
10,営業,自動車・装置・機械製品営業,精密機械・計測機器・分析機器・光学製品営業（海外）
11,営業,自動車・装置・機械製品営業,自動車・建機・自動車部品営業（国内）
12,営業,自動車・装置・機械製品営業,自動車・建機・自動車部品営業（海外）
13,営業,原料・素材・化学製品営業,原料・素材・化学製品営業（国内）
14,営業,原料・素材・化学製品営業,原料・素材・化学製品営業（海外）
15,営業,医療営業,MR
16,営業,医療営業,医療機器営業
17,営業,医療営業,OTC（一般用医薬品）
18,営業,医療営業,MS・医薬品卸・代理店
19,営業,医療営業,ライフサイエンス（理化学機器・試薬）
20,営業,医療営業,その他医療系営業
21,営業,食品・日用品・消費財営業,食品・飲料営業（国内）
22,営業,食品・日用品・消費財営業,日用品・化粧品営業（国内）
23,営業,食品・日用品・消費財営業,その他消費財営業（国内）
24,営業,食品・日用品・消費財営業,食品・飲料・日用品・化粧品・その他消費財営業（海外）
25,営業,建設・土木・不動産・住宅営業,建設・不動産法人営業
26,営業,建設・土木・不動産・住宅営業,建設・不動産個人営業
27,営業,金融営業,金融法人営業
28,営業,金融営業,金融個人営業・ファイナンシャルプランナー
29,営業,広告・メディア営業,広告・メディア法人営業（新規中心）
30,営業,広告・メディア営業,広告・メディア法人営業（既存・ルートセールス中心）
31,営業,広告・メディア営業,広告・メディア代理店営業・パートナーセールス
32,営業,広告・メディア営業,広告・メディア個人営業
33,営業,広告・メディア営業,広告・メディア海外営業
34,営業,人材・求人広告営業,派遣営業
35,営業,人材・求人広告営業,派遣コーディネーター
36,営業,人材・求人広告営業,人材紹介営業
37,営業,人材・求人広告営業,求人広告営業
38,営業,人材・求人広告営業,キャリアコンサルタント・キャリアアドバイザー
39,営業,人材・求人広告営業,ブティック・エグゼクティブ
40,営業,人材・求人広告営業,その他人材・コーディネーター・求人広告営業
41,営業,その他営業職,その他法人営業（新規中心）
42,営業,その他営業職,その他法人営業（既存・ルートセールス中心）
43,営業,その他営業職,その他代理店営業・パートナーセールス
44,営業,その他営業職,その他個人営業
45,営業,その他営業職,その他海外営業
46,企画・管理,マーケティング・商品企画・広告宣伝,商品企画・サービス企画
47,企画・管理,マーケティング・商品企画・広告宣伝,広告宣伝
48,企画・管理,マーケティング・商品企画・広告宣伝,販売促進・PR
49,企画・管理,マーケティング・商品企画・広告宣伝,MD
50,企画・管理,マーケティング・商品企画・広告宣伝,Webマーケティング（ネット広告・販促PRなど）
51,企画・管理,マーケティング・商品企画・広告宣伝,その他マーケティング・商品企画・広告宣伝
52,企画・管理,経理・財務・管理会計・内部統制,経理（財務会計）
53,企画・管理,経理・財務・管理会計・内部統制,財務
54,企画・管理,経理・財務・管理会計・内部統制,管理会計
55,企画・管理,経理・財務・管理会計・内部統制,内部統制
56,企画・管理,総務・法務・知財・内部監査,総務
57,企画・管理,総務・法務・知財・内部監査,法務
58,企画・管理,総務・法務・知財・内部監査,知的財産・特許
59,企画・管理,総務・法務・知財・内部監査,内部監査
60,企画・管理,購買・物流・貿易,購買・調達・バイヤー・MD
